,index,Name,Pose,Gold.Goldscore.Fitness,Gold.PLP.Fitness,Hbond,Mean,Cluster_from_mean,Cluster_from_no_mean
541,541,4d1n_3,6,34.8133,30.4019,1,32.6076,3,0
542,542,4d1n_3,7,24.7623,31.3493,0,28.055799999999998,0,1
543,543,4d1n_3,8,34.1157,30.5042,2,32.30995,2,0
544,544,4d1n_3,9,26.9869,27.7821,0,27.3845,0,1
545,545,4d1n_3,10,24.4476,29.5999,0,27.02375,0,1
546,546,4v3u_7,1,39.1892,15.1527,1,27.170949999999998,3,0
547,547,4v3u_7,2,40.3583,33.4463,0,36.9023,1,2
548,548,4v3u_7,3,38.5171,29.6078,2,34.06245,2,0
549,549,4v3u_7,4,37.9356,27.0668,2,32.5012,2,0
550,550,4v3u_7,5,30.4024,12.668,2,21.5352,2,3
551,551,4v3u_7,6,33.5345,4.2622,2,18.89835,2,3
552,552,4v3u_7,7,38.0188,15.5457,1,26.782249999999998,3,0
553,553,4v3u_7,8,35.2933,21.3994,2,28.34635,2,0
554,554,4v3u_7,9,29.9972,3.5998,1,16.7985,0,3
555,555,4v3u_7,10,30.7352,24.4581,1,27.59665,3,0
556,556,4v3u_1,1,26.8819,21.1221,1,24.002000000000002,0,3
557,557,4v3u_1,2,25.8483,24.7424,1,25.29535,0,3
558,558,4v3u_1,3,30.0792,26.2574,0,28.168300000000002,0,1
559,559,4v3u_1,4,26.8952,22.6669,1,24.78105,0,3
560,560,4v3u_1,5,24.4389,25.9664,0,25.20265,0,1
561,561,4v3u_1,6,22.7226,15.23,1,18.976300000000002,0,3
562,562,4v3u_1,7,20.0643,14.8814,1,17.47285,0,3
563,563,4v3u_1,8,22.8986,28.1982,0,25.5484,0,1
564,564,4v3u_1,9,22.9071,24.5759,0,23.741500000000002,0,1
565,565,4v3u_1,10,20.4278,20.3968,0,20.412300000000002,0,3
566,566,4v3u_5,1,21.1445,12.9232,0,17.03385,0,3
567,567,4v3u_5,2,23.9353,15.6018,2,19.76855,2,3
568,568,4v3u_5,3,16.3919,23.8164,0,20.10415,0,3
569,569,4v3u_5,4,22.8173,18.4303,0,20.6238,0,3
570,570,4v3u_5,5,23.23,19.6237,0,21.42685,0,3
571,571,4v3u_5,6,28.0321,23.244,0,25.63805,0,1
572,572,4v3u_5,7,19.9592,23.3952,1,21.6772,0,3
573,573,4v3u_5,8,18.6797,17.2108,2,17.94525,2,3
574,574,4v3u_5,9,21.5041,15.7997,1,18.6519,0,3
575,575,4v3u_5,10,21.5936,17.9239,1,19.75875,0,3
